time (s),decision_0_vs_1 (V),decision_0_vs_2 (V),decision_0_vs_3 (V),decision_0_vs_4 (V),decision_0_vs_5 (V),decision_0_vs_6 (V),decision_0_vs_7 (V),decision_0_vs_8 (V),decision_0_vs_9 (V),decision_1_vs_2 (V),decision_1_vs_3 (V),decision_1_vs_4 (V),decision_1_vs_5 (V),decision_1_vs_6 (V),decision_1_vs_7 (V),decision_1_vs_8 (V),decision_1_vs_9 (V),decision_2_vs_3 (V),decision_2_vs_4 (V),decision_2_vs_5 (V),decision_2_vs_6 (V),decision_2_vs_7 (V),decision_2_vs_8 (V),decision_2_vs_9 (V),decision_3_vs_4 (V),decision_3_vs_5 (V),decision_3_vs_6 (V),decision_3_vs_7 (V),decision_3_vs_8 (V),decision_3_vs_9 (V),decision_4_vs_5 (V),decision_4_vs_6 (V),decision_4_vs_7 (V),decision_4_vs_8 (V),decision_4_vs_9 (V),decision_5_vs_6 (V),decision_5_vs_7 (V),decision_5_vs_8 (V),decision_5_vs_9 (V),decision_6_vs_7 (V),decision_6_vs_8 (V),decision_6_vs_9 (V),decision_7_vs_8 (V),decision_7_vs_9 (V),decision_8_vs_9 (V)
3.800E-9,564.1E-6,2.995,3.009,2.999,8.675E-3,85.91E-6,2.991,392.9E-6,3.001,2.999,3.002,2.999,2.998,-5.672E-3,3.000,2.999,2.993,2.995,3.009,399.4E-6,1.784E-3,2.994,23.39E-3,2.991,-120.2E-6,6.650E-3,-1.499E-3,3.008,2.733E-3,333.1E-3,811.5E-6,-1.994E-3,3.001,100.9E-3,2.999,-9.045E-6,2.997,2.999,3.001,3.001,2.999,3.000,9.520E-3,9.373E-3,3.003
7.800E-9,-2.627E-3,2.994,13.02E-3,14.36E-3,14.10E-3,2.981,-2.845E-3,1.015E-3,-4.225E-3,2.978,1.180E-3,-15.88E-3,2.983,3.012,25.80E-3,3.000,5.743E-3,16.89E-3,-2.490E-3,2.999,2.999,-4.388E-3,1.791E-3,-4.212E-3,-2.494E-3,11.88E-3,2.997,22.28E-3,2.999,1.637E-3,3.003,3.000,670.9E-6,3.005,3.000,2.999,-4.815E-3,1.242E-3,-2.230E-3,-4.648E-3,9.447E-3,-2.766E-3,3.003,3.000,5.100E-3
11.80E-9,2.999,2.998,2.999,2.912E-3,2.998,3.001,2.998,2.999,2.998,-8.849E-3,6.312E-3,-257.6E-6,3.176E-3,6.649E-3,6.838E-3,7.568E-3,-747.4E-6,1.442E-3,-1.101E-3,262.5E-6,133.6E-6,2.995,2.753E-3,2.213E-3,-730.1E-6,3.833E-3,1.221E-3,2.999,2.999,-1.374E-3,4.790E-3,2.999,3.000,2.998,2.999,3.003,2.993,2.993,3.004,2.998,2.992,2.999,1.626E-3,9.349E-3,4.947E-3
15.80E-9,1.413E-3,-2.091E-3,1.441E-3,-127.8E-6,-2.562E-3,1.575E-3,1.187E-3,336.0E-6,1.502E-3,2.999,2.998,2.830,2.999,2.995,3.000,2.999,2.952,1.226E-3,-661.9E-6,2.999,3.059,1.374E-3,-2.137E-3,2.995,964.1E-6,2.999,1.269E-3,3.000,4.181E-3,2.998,3.002,2.999,2.998,2.998,2.999,3.036,1.380E-3,-956.6E-6,866.5E-6,2.999,229.9E-6,2.661,3.000,-2.358E-3,1.303E-3
19.80E-9,2.572E-3,17.63E-3,-1.645E-3,3.002,-8.736E-3,1.450E-3,3.007,24.94E-3,3.003,3.002,3.005,3.003,3.004,3.004,3.003,3.005,3.001,-4.855E-3,3.005,-5.084E-3,160.4E-6,3.001,17.65E-3,2.999,2.991,2.999,2.977,2.994,2.999,987.2E-3,-1.209E-3,-5.861E-3,-907.8E-6,-557.8E-6,6.192E-3,2.025E-3,3.002,2.987,3.000,3.000,2.036E-3,2.999,3.000,3.003,2.996
23.80E-9,2.999,2.998,2.999,4.492E-3,2.998,2.999,2.999,2.998,2.998,4.226E-3,4.324E-3,9.602E-3,10.12E-3,9.612E-3,10.13E-3,9.964E-3,10.58E-3,2.957E-3,-660.6E-6,1.397E-3,-550.6E-6,2.994,2.983,718.9E-6,4.420E-3,-611.8E-6,1.138E-3,125.4E-3,2.999,7.826E-3,683.4E-6,3.009,2.999,2.998,2.999,2.915E-3,2.991,2.997,2.993,2.998,3.000,2.999,703.2E-6,6.995E-3,1.893E-3
27.80E-9,2.992,-16.30E-3,2.984,3.001,2.980,2.995,2.980,3.000,3.002,3.247,2.980,2.981,2.982,3.004,3.003,2.998,2.984,2.999,2.997,3.001,2.994,3.033,2.980,2.982,2.985,3.001,6.297E-3,2.998,2.996,2.992,378.7E-6,7.193E-3,9.774E-3,1.783E-3,9.706E-3,21.12E-3,3.036,3.032,2.999,7.064E-3,2.996,3.002,2.999,2.992,3.037
31.80E-9,786.5E-6,2.998,3.000,2.999,2.999,2.999,2.995,2.999,2.999,222.2E-3,2.999,3.000,2.999,2.048,2.995,2.999,2.994,3.000,2.999,3.000,2.804E-3,1.178E-3,2.994,2.997,2.404E-3,2.567E-3,2.999,4.766E-3,2.997,2.997,770.6E-3,5.317E-3,2.999,1.501E-3,2.999,3.192E-3,2.876E-3,1.842,2.999,3.000,2.998,2.997,2.999,3.000,2.999
35.80E-9,1.738E-3,5.391E-3,1.719E-3,2.998,15.82E-3,3.000,2.998,1.355E-3,2.998,3.000,3.000,2.999,3.001,3.000,2.996,3.001,2.999,1.648E-3,-459.1E-6,1.605E-3,2.999,-426.6E-6,1.145E-3,401.6E-6,2.999,2.998,2.998,2.999,2.999,2.999,2.996,2.999,1.512E-3,2.999,2.999,2.999,2.862E-3,1.273E-3,2.999,-636.2E-6,1.524E-3,2.997,2.999,2.999,1.977E-3
39.80E-9,89.21E-6,3.000,3.013,3.001,3.001,3.002E-3,2.997,2.999,3.004,2.998,3.002,2.977,3.003,2.999,3.001,3.001,2.972,-153.4E-6,3.000,2.999,391.9E-3,3.035,2.972,2.970,2.981,3.001,1.510E-3,2.972,2.999,3.029,-1.278E-3,11.06E-3,16.63E-3,-439.5E-6,3.001,1.083E-3,2.974,2.995,3.002,3.001,2.974,3.003,-53.21E-3,3.000,3.021
